cnpj,nome_cia,ativ_princ,receita_2019,res_antes_tl_2019,ir_corr_2019,ativo_total_2019,pl_2019,receita_2018,res_antes_tl_2018,ir_corr_2018,ativo_total_2018,pl_2018,receita_2017,res_antes_tl_2017,ir_corr_2017,ativo_total_2017,pl_2017,receita_2016,res_antes_tl_2016,ir_corr_2016,ativo_total_2016,pl_2016,receita_2015,res_antes_tl_2015,ir_corr_2015,ativo_total_2015,pl_2015,receita_2014,res_antes_tl_2014,ir_corr_2014,ativo_total_2014,pl_2014,receita_2013,res_antes_tl_2013,ir_corr_2013,ativo_total_2013,pl_2013,receita_2012,res_antes_tl_2012,ir_corr_2012,ativo_total_2012,pl_2012,receita_2011,res_antes_tl_2011,ir_corr_2011,ativo_total_2011,pl_2011
08.070.508/0001-78,RAIZEN ENERGIA S.A.,Produção de Etanol. Açúcar E Bionergia.,22405637,478921,146886,28631585,8338026,0,0,0,0,0,12180692,1853681,327156,23780800,9384192,11867088,1460137,149646,22610564,8382424,9739137,-52393,61184,21746682,6775554,9455221,188515,29070,17872223,6644509,8468238,139317,104620,16662534,6673495,7240976,479687,31686,15206606,5636868,0,0,0,0,0
89.086.144/0001-16,RANDON S.A. IMPLEMENTOS E PARTICIPACOES,Indústria E Comércio de Veíc. Automotores E Rebocados Para A Movimentação E O de Transporte de Materiais; de Implem Para O Transp Rodoviário E Ferroviário E de Aparelhos Mecânicos. Peças,5092365,429643,104702,6328114,2175962,4262602,319215,49452,5822659,2044961,2936758,153944,69337,4970681,1908059,2623976,1081,46331,4868291,1890284,3099402,-6085,57258,5183866,1587668,3778753,331128,41674,4873531,1743344,4253328,411874,111749,4906918,1642808,3501921,132152,47650,4332572,1857657,0,0,0,0,0
02.773.542/0001-22,RB CAPITAL COMPANHIA DE SECURITIZAÇÃO,Aquisição de Créditos Imobiliários. Créditos Do Agronegocio. Titulos E Valores Mobiliarios; Gestão E Administração de Carteiras de Crédito; Securitizacao; Atividades Relacionadas.,21053,19698,6049,32475,26827,21071,15518,5076,28567,22273,17438,17527,5575,319205,23229,9128,9516,0,140970,17217,5308,10443,0,214033,19884,16064,17353,0,153391,19214,44444,22028,0,240148,19878,9045,6363,0,298431,18580,928,-797,0,21759,15583
02.643.896/0001-52,REAL AI PIC SEC DE CREDITOS IMOBILIARIO S.A.,Securitização de Recebíveis,0,6188,2080,199617,4179,0,6756,2273,220585,4554,0,5966,1739,228675,4033,0,6179,1447,256778,4173,0,5924,1391,261196,3997,0,5060,1202,254922,3405,0,-821,0,258601,1277,0,2577,589,257939,2059,0,2982,688,249218,2365
91.333.666/0001-17,RECRUSUL S.A.,Produção E Comercialização de Implementos Rodoviários E Equipamentos Para Refrigeração Industrial.,18660,-3463,0,38820,-67262,4462,-13052,0,40979,-63929,35,-39295,0,37470,-116299,0,-29823,0,47984,-81818,592,-17106,0,35212,-104147,2056,-59651,0,37133,-86682,19050,-13307,0,96884,-43113,12951,-14647,0,92198,-35490,8685,-33248,0,77215,-47735
06.047.087/0001-39,Rede DOr São Luiz S.A.,,13319835,1698956,507439,26599665,5442000,10914892,1645384,465766,19028904,4527727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61.584.140/0001-49,REDE ENERGIA PARTICIPAÇÕES S.A.,Participação em Outras Empresas (a Rede Energia Participações É Uma Holding),11198611,1248031,296006,18710421,4700666,10069539,734392,116304,16514570,4350976,8977152,292442,131651,14925113,4135453,7739833,169554,191795,13926696,4093465,8212552,161555,124262,12936780,3353016,4908699,2379832,81706,11915788,2964826,99723,-153068,3334,2788145,-654619,3642217,-801044,23211,2823143,-525101,5348622,173361,110527,12935830,1888645
33.412.081/0001-96,REFINARIA DE PETROLEOS MANGUINHOS S.A.,Fabricação de Produtos de Refino de Petróleo.,1185113,-228463,0,2489899,-2780886,1011894,-177061,0,1797759,-2552423,694505,-235915,0,1176464,-2375342,711544,-565283,0,640725,-2139203,710127,-482634,0,368995,-1573988,238174,-185815,0,318362,-1107593,115915,-463951,0,304512,-921777,1862781,-366808,0,319092,-521707,2355539,-21751,0,602377,-209185
08.534.605/0001-74,RENOVA ENERGIA S.A.,Geração de Energia Por Meio de Fontes Renováveis.,98190,-1006931,6743,2290042,-1130428,709795,-850512,5936,2604918,-99956,734098,-1246189,14682,2929337,779808,483137,-1155105,11960,5901136,1955598,409830,338649,34161,6023461,2627916,302867,-20316,15925,5542242,2509641,226011,16241,9994,3672179,1000600,115639,112,6479,2678039,991397,36553,-9388,0,1614581,681954
49.669.856/0001-43,RESTOQUE COMÉRCIO E CONFECÇÕES DE ROUPAS S.A.,(a) Confecção de Produtos em Geral. Através de Terceiros; (b) Importação E Exportação; (c) Exploração de Comércio E Indústria de Confecção de Produtos em Geral.,954083,-263318,0,4284088,2282314,1244145,129426,0,3708429,2225873,1249816,-213840,0,3690947,2146495,1125829,-89071,0,3179649,1681063,1188743,-44990,17888,3172335,1742917,765717,-9237,1626,3381678,1803791,713678,-27743,0,989623,156121,635914,14757,-289,973059,208045,471100,54950,19572,542893,197020
02.016.440/0001-62,RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,Distribuição de Energia Elétrica,7980142,883634,172433,9827825,3950620,4198349,230391,-17032,9484167,3727276,0,0,0,0,0,2853167,-183718,86,3795562,1421630,3265691,-5141,-418,4065514,934762,2655828,311378,58717,3629896,1035903,2072919,-114551,13390,3091616,882944,2341357,248235,44590,2989756,969576,2027923,304550,28065,2661628,804148
